,ticker,index,d_sameind,launch_order,CUSIP
725,JHMS,John Hancock Dimensional Consumer Staples Index,0,,47804J87
726,JHMU,John Hancock Dimensional Utilities Index,0,,47804J86
727,JHSC,John Hancock Dimensional Small Cap Index,0,,47804J84
728,JKD,Morningstar Large Core TR USD,0,,46428712
729,JKE,Morningstar Large Growth TR USD,0,,46428711
730,JKF,Morningstar Large Value TR USD,0,,46428810
731,JKG,Morningstar Mid Core TR USD,0,,46428820
732,JKH,Morningstar Mid Growth TR USD,0,,46428830
733,JKI,Morningstar Mid Value TR USD,0,,46428840
734,JKJ,Morningstar Small Core TR USD,0,,46428850
735,JKK,Morningstar Small Growth TR USD,0,,46428860
736,JKL,Morningstar Small Value TR USD,0,,46428870
737,JMIN,JP Morgan US Minimum Volatility Index,0,,46641Q78
738,JMOM,JP Morgan US Momentum Factor Index,0,,46641Q77
739,JOYY,MSCI Global Consumer Champions Index,0,,45687D10
740,JPEM,FTSE Emerging Diversified Factor Index,0,,46641Q30
741,JPEU,FTSE Developed Europe Diversified Factor Index,0,,46641Q60
742,JPGE,FTSE Developed Diversified Factor Index,0,,46641Q10
743,JPIN,FTSE Developed ex North America Diversified Factor Index,0,,46641Q20
744,JPME,Russell Midcap Diversified Factor Index,0,,46641Q88
745,JPMV,MSCI Japan Minimum Volatility Index,0,,46434V71
746,JPN,JPX-Nikkei 400 Net Total Return Index,1,2.0,23305166
747,JPSE,Russell 2000 Diversified Factor Index,0,,46641Q84
748,JPUS,Russell 1000 Diversified Factor Index,0,,46641Q40
749,JPXN,JPX-Nikkei 400 Net Total Return Index,1,1.0,46428738
750,JQUA,JP Morgan US Quality Factor Index,0,,46641Q76
751,JSMD,Janus Small/Mid Cap Growth Alpha Index,0,,47103U20
752,JSML,Janus Small Cap Growth Alpha Index,0,,47103U10
753,JSTC,Adasina Social Justice Index,0,,88636487
754,JUST,JUST US Large Cap Diversified Index,0,,38143039
755,JVAL,JP Morgan US Value Factor Index,0,,46641Q75
756,JXI,S&P Global 1200 Sec/Utilities TR,0,,46428871
757,KALL,MSCI China All Shares Index,1,2.0,50076780
758,KARS,Solactive Electric Vehicles and Future Mobility Index,0,,50076782
759,KBA,MSCI China A USD,0,,50076740
760,KBE,S&P Banks Select Industry TR USD,0,,78464A79
761,KBUY,CICC China Consumer Leaders Index,0,,50076759
762,KBWB,KBW Bank TR USD,0,,46138E62
763,KBWD,KBW Fin Sector Divi Yield TR USD,0,,46138E61
764,KBWP,KBW Property & Casualty TR USD,0,,46138E58
765,KBWR,KBW Regional Banking TR USD,0,,46138E57
766,KCE,S&P Capital Markets Select Indust TR USD,0,,78464A77
767,KEMQ,Solactive Emerging Markets Consumer Technology Index,0,,50076787
768,KEMX,MSCI Emerging Markets ex China Index,0,,50076776
769,KESG,MSCI China ESG Leaders 10/40 Index,0,,50076766
770,KFVG,CICC China 5G and Semiconductor Leaders Index,0,,50076761
771,KFYP,CSI Overseas China Five-Year Plan GR USD,0,,50076720
772,KGRN,MSCI China IMI Environment 10/40 Index,0,,50076785
773,KIE,S&P Insurance Select Industry TR USD,0,,78464A78
774,KLCD,Russell 1000 Dividend Select Equal Weight Index,0,,50076772
775,KLDW,Gavekal Knowledge Leaders Developed World Index,0,,30151E60
776,KLDW,Gavekal Knowledge Leaders Developed World Index,0,,46143U84
777,KMED,Solactive Emerging Markets Healthcare Index,0,,50076781
778,KNG,S&P 500 Dividend Aristocrats Index,1,2.0,26922A53
779,KNG,S&P 500 Dividend Aristocrats Index,1,2.0,33739Q70
780,KNOW,Sabrient Multi-Cap Insider QW TR USD,0,,25459Y76
781,KOIN,Innovation Labs Blockchain Innovators Index,0,,30150576
782,KOKU,MSCI Kokusai Net Total Return Index,0,,23305113
783,KOL,MV Global Coal NR USD,0,,92189H88
784,KOMP,S&P Kensho New Economies Composite Index,0,,78468R64
785,KRE,S&P Regional Banks Select Indust TR USD,0,,78464A69
786,KRMA,Concinnity Conscious Companies Index,0,,37954Y73
787,KSA,MSCI Saudi Arabia IMI 25/50 Index,0,,46434V42
788,KSCD,Russell 2000 Dividend Select Equal Weight Index,0,,50076771
789,KURE,MSCI China All Shares Health Care 10/40 Index,0,,50076783
790,KVLE,Value Line Dynamic Core Equity Index,0,,50076764
791,KWEB,China Technology Sector,1,2.0,50076730
792,KXI,S&P Global 1200 Sec/Cons Staples TR,0,,46428873
793,LDEM,MSCI EM Extended ESG Leaders 5% Issuer Capped Net Index,0,,46436E60
794,LDRS,IBD ETF Leaders Index,0,,45782C20
795,LEAD,Reality Shares DIVCON Leaders Dividend Index,0,,75605A40
796,LEAD,Reality Shares DIVCON Leaders Dividend Index,0,,82965830
797,LEGR,Indxx Blockchain Index,0,,33741X20
798,LEND,CrowdBureau Peer-to-Peer Lending and Equity Crowdfunding Index,0,,03210886
799,LGLV,Russell 1000 Low Volatility TR USD,0,,78468R80
800,LIT,Solactive Global Lithium TR USD,0,,37954Y85
801,LIV,Emles Home Lifestyle Index,0,,29136110
802,LNGR,Indxx Global Longevity Thematic Index,0,,37954Y77
803,LOUP,Loup Frontier Tech Index,0,,45782C86
804,LOWC,MSCI ACWI Low Carbon Target Index,1,1.0,78463X19
805,LRGF,MSCI USA Diversified Multi-Factor Index,0,,46434V28
806,LSAF,AlphaFactor US Core Equity Index,0,,90214Q77
807,LSLT,Salt Low truBeta US Market Index,0,,79590A10
808,LSLT,Salt Low truBeta US Market Index,0,,26922A16
809,LSLT,Salt Low truBeta US Market Index,0,,69374H59
810,LUXE,Emles Global Luxury 50 Index,0,,29136188
811,LVHB,Lunt Capital US Large Cap Equity Rotation Index,0,,45783G10
812,LVHD,QS Low Volatility High Dividend Index,0,,52468L40
813,LVHE,QS Emerging Markets Low Volatility High Dividend Hedged Index,0,,52468L60
814,LVHI,QS International Low Volatility High Dividend Hedged Index,0,,52468L50
815,LVL,S&P Global Dividend Opport NR USD,0,,46138E27
816,LVL,S&P Global Dividend Opport NR USD,0,,18383M86
817,LVUS,Hartford Multifactor Low Volatility US Equity Index,0,,51841670
818,MAGA,Point Bridge GOP Stock Tracker Index,0,,26922A62
819,MCHI,MSCI China NR USD,0,,46429B67
820,MDY,S&P Midcap 400 Index,1,1.0,78467Y10
821,MDYG,S&P Midcap 400 Growth Index,1,2.0,78464A82
822,MDYV,S&P Midcap 400 Value Index,1,2.0,78464A83
823,MFDX,RAFI Dynamic Multi-Factor Developed ExUS Index,0,,72202L37
824,MFEM,RAFI Dynamic Multi-Factor Emerging Market Index,0,,72202L38
825,MFUS,RAFI Dynamic Multi-Factor U.S. Index,0,,72202L36
826,MGC,CRSP US Mega Cap TR USD,0,,92191087
827,MGK,CRSP US Mega Cap Growth TR USD,0,,92191081
828,MGV,CRSP US Mega Cap Value TR USD,0,,92191084
829,MIDF,MSCI USA Mid Cap Diversified Multiple-Factor Index,0,,46435U14
830,MILN,Indxx Millennials Thematic Index,0,,37954Y76
831,MJ,Prime Alternative Harvest Index,0,,26924G50
832,MLPA,Solactive MLP TR USD,0,,37954Y34
833,MLPX,Solactive MLP & Energy Infrastruc TR USD,0,,37954Y29
834,MMTM,S&P 1500 Positive Momentum Tilt TR USD,0,,78468R70
835,MNA,IQ Hedge Merger Arbitrage TR USD,0,,45409B80
836,MOAT,Morningstar Wide Moat Focus TR USD,0,,92189F64
837,MOM,DJ US Thematic Market Neut Momen TR USD,0,,00110G10
838,MOO,Market Vectors Gbl Agribusiness USD,0,,92189F70
839,MOON,S&P Kensho Moonshots Index,0,,25460G73
840,MOTI,Morningstar Global ex-US Moat Focus Index,0,,92189F59
841,MRGR,S&P Merger Arbitrage TR USD,0,,74348A56
842,MTUM,MSCI USA Momentum GR USD,0,,46432F39
843,MXDE,TOBAM Maximum Diversification Emerging Index,0,,26922A64
844,MXDU,TOBAM Maximum Diversification USA Index,0,,26922A65
845,MXI,S&P Global 1200 Sec/Materials TR,0,,46428869
846,NACP,Morningstar Minority Empowerment Index,0,,45259A20
847,NANR,S&P BMI North American Natural Resources Index,0,,78463X15
848,NERD,Roundhill BITKRAFT Esports Index,0,,53656F70
849,NETL,Fundamental Income Net Lease Real Estate Index,0,,26922A24
850,NFO,Sabrient Insider Sentiment TR USD,0,,46137V55
851,NFO,Sabrient Insider Sentiment TR USD,0,,18383M20
852,NFRA,STOXX Global Broad Infrastructure USD,0,,33939L79
853,NFTY,NIFTY 50 Equal Weight Index,0,,33737J80
854,NGE,Solactive Nigeria TR USD,0,,37954Y66
855,NIFE,Indxx US Fallen Knives Index,0,,25460G75
856,NLR,Market Vectors Global Uranium and Nuclear Energy USD,0,,92189F60
857,NOBL,S&P 500 Dividend Aristocrats Index,1,1.0,74348A46
858,NORW,MSCI Norway IMI 25/50 Index,1,1.0,37950E74
859,NORW,MSCI Norway IMI 25/50 Index,1,1.0,37950E10
860,NUDM,TIAA ESG International Developed Markets Equity Index,0,,67092P80
861,NUEM,TIAA ESG Emerging Markets Equity Index,0,,67092P88
862,NULC,TIAA ESG USA Large-Cap Index,0,,67092P86
863,NULG,TIAA ESG USA Large-Cap Growth Index,0,,67092P20
864,NULV,TIAA ESG USA Large-Cap Value Index,0,,67092P30
865,NUMG,TIAA ESG USA Mid-Cap Growth Index,0,,67092P40
866,NUMV,TIAA ESG USA Mid-Cap Value Index,0,,67092P50
867,NUSC,TIAA ESG USA Small-Cap Index,0,,67092P60
868,NXTG,Indxx 5G & NextG Thematic Index,0,,33737K20
869,OBOR,MSCI Global China Infrastructure Exposure Index,0,,50076786
870,OEF,S&P 100 TR,0,,46428710
871,OEUR,FTSE Developed Europe Qual/Vol/Yield Factor 5% Capped Index,0,,35168084
872,OEUR,FTSE Developed Europe Qual/Vol/Yield Factor 5% Capped Index,0,,67110P50
873,OEUR,FTSE Developed Europe Qual/Vol/Yield Factor 5% Capped Index,0,,00162Q37
874,OGIG,O Shares Global Internet Giants Index,0,,67110P70
875,OGIG,O Shares Global Internet Giants Index,0,,00162Q36
876,OIH,MV US Listed Oil Services 25 NR USD,0,,92189H60
877,OLD,Solactive Long-Term Care Index,0,,47103U40
878,OMFL,Russell 1000 OFI Dynamic Multifactor Index,0,,68386C72
879,OMFL,Russell 1000 OFI Dynamic Multifactor Index,0,,46138J61
880,OMFS,Russell 2000 OFI Dynamic Multifactor Index,0,,68386C11
881,OMFS,Russell 2000 OFI Dynamic Multifactor Index,0,,46138J59
882,OMOM,Russell 1000 Momentum Factor Index,0,,68386C68
883,OMOM,Russell 1000 Momentum Factor Index,0,,46138G75
884,ONEO,Russell 1000 Momentum Focused Factor Index,0,,78468R76
885,ONEQ,NASDAQ Composite TR USD,0,,31591280
886,ONEV,Russell 1000 Low Volatility Focused Factor Index,0,,78468R75
887,ONEY,Russell 1000 Yield Focused Factor Index,0,,78468R77
888,ONLN,ProShares Online Retail Index,0,,74347B16
889,OQAL,Russell 1000 Quality Factor Index,0,,68386C67
890,OQAL,Russell 1000 Quality Factor Index,0,,46138G74
891,ORG,Solactive Organics Index,0,,47103U60
892,OSIZ,Russell 1000 Size Factor Index,0,,68386C69
893,OSIZ,Russell 1000 Size Factor Index,0,,46138G73
894,OUSA,FTSE U.S. Qual/Vol/Yield Factor 5% Capped Index,0,,35168085
895,OUSA,FTSE U.S. Qual/Vol/Yield Factor 5% Capped Index,0,,67110P40
896,OUSA,FTSE U.S. Qual/Vol/Yield Factor 5% Capped Index,0,,00162Q38
897,OUSM,FTSE USA Small Cap Qual/Vol/Yield Factor 3% Capped Index,0,,67110P10
898,OUSM,FTSE USA Small Cap Qual/Vol/Yield Factor 3% Capped Index,0,,00162Q39
899,OVLU,Russell 1000 Value Factor Index,0,,68386C65
900,OVLU,Russell 1000 Value Factor Index,0,,46138G72
901,OVOL,Russell 1000 Volatility Factor Index,0,,68386C66
902,OVOL,Russell 1000 Volatility Factor Index,0,,46138G76
903,OYLD,Russell 1000 Yield Factor Index,0,,68386C71
904,OYLD,Russell 1000 Yield Factor Index,0,,46138G71
905,PACA,MSCI Latin America Pacific Alliance Capped Index,0,,23305153
906,PAK,MSCI All Pakistan Select 25/50 Index,0,,37954Y33
907,PALC,Lunt Capital U.S. Large Cap Multi-Factor Rotation Index,0,,69374H81
908,PAMC,Lunt Capital U.S. MidCap Multi-Factor Rotation Index,0,,69374H72
909,PAVE,INDXX U.S. Infrastructure Development Index,0,,37954Y67
910,PAWZ,FactSet Pet Care Index,0,,74348A14
911,PBD,WilderHill New Energy Glbl Innovation TR USD,0,,46138G84
912,PBDM,FTSE Developed ex North America Index,0,,46138E48
913,PBE,Dynamic Biotech&Genome Intellidex TR USD,0,,46137V78
914,PBEE,FTSE Emerging Index,0,,46138E47
915,PBJ,Dynamic Food&Beverage Intellidex TR USD,0,,46137V75
916,PBS,Dynamic Media Intellidex TR USD,0,,46137V69
917,PBSM,MSCI USA Small Cap Index,0,,46138E45
918,PBUS,MSCI USA Index,0,,46138E46
