ticker,index_id,avg_net_expense_mer,avg_time_existence,avg_time_since_first,avg_aum_index,avg_lend_byaum_bps,avg_marketing_fee_bps,avg_other_expenses,avg_fee_waivers,avg_creation_fee,avg_stock_tweets,avg_ratio_tra,avg_highfee,avg_tr_error_bps,avg_perf_drag_bps,avg_d_uit,avg_mgr_duration_tii,avg_mgr_duration_tsi,avg_mgr_duration,avg_ratio_tii,avg_mer_bps,avg_mkt_share,avg_spread_bps_crsp,avg_turnover_frac,avg_qs_dollar_tw,avg_qs_percent_tw,avg_es_dollar_ave,avg_es_percent_ave,avg_rs_dollar_ave,avg_rs_percent_ave,avg_profit,log_avg_volume,log_avg_aum,log_avg_profit,log_avg_aum_index,avg_different_benchmarks,avg_different_lead_mm,avg_firstmover
QQQE,NASDAQ-100 Equal Weighted Index,-.2,6.375,.92652363,796131904,0,25,.22149999,-.1715,500,-.078352898,.17094587,0,16.165237,-1.138911,0,2.0497212,4.6951528,2.062185,95.450233,35,.21454912,16.299988,2.5643678,.10753495,.0020437541,.056877557,.001058746,.04609108,.00085895637,616363.44,14.428194,18.986584,13.331592,20.495275,0,.94999999,0
RSX,Russia,.0425,11.125,1.3660076,2111719168,.17557999,0,.1675,-.125,1000,-.074550122,.57954735,1,117.02451,-6.022656,0,2.9906924,2.5851591,2.8040514,80.028671,65.5,.75588959,5.0929074,29.085077,.012094308,.00058796135,.0075251074,.00037088688,.0013242036,.000063806314,10589526,18.97093,21.201664,16.175377,21.470768,1,.64999998,1
SCHC,EAFE Small Cap,0,8.375,1.3408481,10505933824,7.3287487,0,0,0,10625,-.070543937,.30559808,0,32.7887,-1.7644012,0,4.3559895,5.9252372,4.644002,72.751366,12.91579,.16442826,11.391363,1.4015387,.039479069,.0012600838,.018724289,.00060009718,.014135809,.0004529673,2217386,16.120161,21.303829,14.611839,23.075207,1,1,0
SCZ,EAFE Small Cap,0,10.625,1.3550282,10505933824,14.583711,0,0,0,10000,-.078356594,.07221736,1,74.366447,-1.6132783,0,4.5082455,6.0962782,4.7979741,75.519592,40,.83557177,4.386765,2.1101067,.01754383,.00032139407,.0095607005,.00017474602,.0040805619,.000076696131,34875556,18.118763,22.888758,17.367296,23.075207,1,1,1
SLY,S&P SmallCap 600 Index,-.25,13.625,.99478471,44115271680,3.907346,25,0,0,3000,-.078323908,.12062725,1,16.889421,-2.2906621,0,2.6598079,6.2605734,3.2288892,86.258583,15,.025148468,9.2932148,1.5082694,.12808348,.0015916888,.076450579,.00096423586,.059940971,.00073121634,1700101.8,15.726468,20.848488,14.346199,24.510073,0,.75,0
SLYG,S&P Smallcap 600 Growth Index,-.25,18.875,.97627544,7078552064,2.7126582,25,0,0,1500,-.078420885,.13320228,0,13.844021,-2.1324775,0,2.4741693,5.4809723,3.2776482,78.747665,15,.24368954,6.4872479,1.7669131,.11485454,.0013335288,.047785956,.00056786247,.032880485,.00036813269,2721631.5,16.321135,21.319033,14.816742,22.680336,0,.91666669,0
SLYV,S&P Smallcap 600 Value Index,-.25,18.875,.87350494,7748575232,0,25,0,0,1500,-.078234233,.11562508,0,14.987144,-2.1476896,0,2.5503423,5.4865484,3.9849014,56.122562,15,.24140982,6.2150769,2.2097557,.076241434,.0011625437,.033605028,.00051757129,.021051852,.00033469248,2962308.5,16.60071,21.40377,14.90148,22.770775,0,.91666669,0
SMMD,US Small Caps,0,2,.5494616,8014831616,0,0,.090000004,-.090000004,1400,0,.41308802,1,35.404327,-2.9513872,0,2.4676373,6.3026381,3.2537165,98.648689,15,.0058330745,19.679201,4.9330812,.10595373,.0024692467,.092689089,.0021935792,.083543897,.0019876694,78614.672,13.677822,17.774605,11.272314,22.80456,1,.36363637,0
SPY,S&P 500 Index,.03475,25.375,1.3654907,399960309760,0,0,.0425,-.0077499999,3000,8.3085575,.2563335,1,12.807584,-2.1566176,1,3.3928769,5.7245774,3.6059625,86.915558,9.3999996,.52137965,.38740128,26.063602,.011193244,.00004235551,.011149504,.000042394073,.0025029106,9.0859394e-06,237115024,23.96748,26.253687,19.284056,26.714632,0,.60000002,1
SPYG,S&P 500 Growth Index,-.25,18.875,.94748336,29520021504,.04558431,25,0,0,350,-.077038169,.20550039,0,9.3806467,-1.2785256,0,2.8174376,5.4003839,3.2149701,84.46714,4,.15651652,3.8673637,4.1223817,.0154209,.00040639474,.0090648849,.00023249439,.0047651157,.00012300235,2121959,18.293503,22.391895,14.56785,24.108335,0,1,0
